1465273117044, 1131
1465273117295, 693
1465273117546, 358
1465273117797, 244
1465273118048, 206
1465273118299, 193
1465273118550, 189
1465273118801, 188
1465273119052, 187
1465273119303, 187
1465273119554, 187
1465273119805, 187
1465273120056, 187
1465273120307, 187
1465273120558, 187
1465273120809, 187
1465273121060, 187
1465273121311, 187
1465273121562, 187
1465273121813, 187
1465273122064, 187
1465273122315, 187
1465273122566, 187
1465273122817, 187
1465273123068, 187
1465273123319, 187
1465273123570, 187
1465273123821, 187
1465273124072, 187
1465273124324, 187
1465273124826, 1000
1465273126078, 1500
1465273127330, 1250
1465273128582, 916
1465273129834, 805
1465273131086, 768
1465273132338, 756
1465273133590, 752
1465273134842, 750
1465273136094, 750
1465273137348, 750
1465273138604, 750
1465273139859, 751
1465273141115, 751
1465273142371, 751
1465273143627, 751
1465273144883, 751
1465273147389, 188
1465273149894, 188
1465273152399, 188
1465273154904, 187
1465273157409, 187
1465273158662, 751
1465273159916, 751
1465273161172, 751
1465273162427, 751
1465273163682, 751
1465273164937, 751
